date,usd
2022-01-12,17571234
2022-01-13,11184064
2022-01-14,4780799
2022-01-15,4369368
2022-01-16,3917443
2022-01-17,3149744
2022-01-18,3587493
2022-01-19,6670983
2022-01-20,26721127
2022-01-21,30436876
2022-01-22,5990845
2022-01-23,4346398
2022-01-24,3690544
2022-01-25,9905682
2022-01-26,28227853
2022-01-27,16422685
2022-01-28,6060811
2022-01-29,5553188
2022-01-30,9932769
2022-01-31,12557445
2022-02-01,32521711
2022-02-02,9400638
2022-02-03,4601118
2022-02-04,6976563
2022-02-05,3627220
2022-02-06,4136364
2022-02-07,8735980
2022-02-08,2059212
2022-02-09,3112042
2022-02-10,3852899
2022-02-11,2458839
2022-02-12,2763228
2022-02-13,5771037
2022-02-14,4096771
2022-02-15,10794001
2022-02-16,5439456
2022-02-17,3608947
2022-02-18,2427021
2022-02-19,1846455
2022-02-20,2471030
2022-02-21,1652994
2022-02-22,2076331
2022-02-23,1558848
2022-02-24,3774610
2022-02-25,2992711
2022-02-26,768784
2022-02-27,1089014
2022-02-28,979377
2022-03-01,1226518
2022-03-02,1226834
2022-03-03,2245641
2022-03-04,3556734
2022-03-05,764823
2022-03-06,845150
2022-03-07,1458894
2022-03-08,802444
2022-03-09,534367
2022-03-10,1171331
2022-03-11,729278
2022-03-12,1010553
2022-03-13,1461915
2022-03-14,664378
2022-03-15,663367
2022-03-16,1070355
2022-03-17,1899315
2022-03-18,10386610
2022-03-19,2394408
